   n, insertion_cmp, insertion_swaps, insertion_time, Mergesort_cmp, Mergesort_swaps, Mergesort_time, Bubblesort_cmp, Bubblesort_swaps, Bubblesort_time
 588,         85869,           85288,            186,         18003,            5444,             93,         259895,            76071,             498
 589,         85964,           85382,            199,         18040,            5455,            152,         260483,            76165,             561
 590,         86545,           85962,            185,         18095,            5466,             92,         261664,            76551,             400
 591,         86889,           86305,            182,         18134,            5477,             98,         262254,            76846,             391
 592,         87434,           86849,            181,         18122,            5488,             92,         263439,            77235,             398
 593,         88020,           87434,            188,         18159,            5499,            129,         264031,            77531,             395
 594,         88607,           88020,            190,         18161,            5510,             92,         265220,            77922,             400
 595,         88848,           88260,            183,         18217,            5521,             91,         265814,            78162,             404
 596,         89092,           88503,            184,         18256,            5532,             91,         267007,            78500,            1793
 597,         89542,           88952,            497,         18297,            5543,            167,         267603,            78798,            2032
 598,         89606,           89015,            194,         18354,            5554,            178,         268800,            78957,             643
 599,         90146,           89554,            230,         18366,            5565,             95,         269398,            79256,             409
 600,         90335,           89742,            192,         18409,            5576,            132,         270599,            79541,            1033
 601,         90453,           89859,            283,         18447,            5587,             95,         271199,            79658,             405
 602,         91004,           90409,            188,         18495,            5598,            101,         272404,            80056,             403
 603,         91169,           90573,            187,         18522,            5609,            103,         273006,            80220,             530
 604,         91532,           90935,            195,         18518,            5620,             94,         274215,            80619,             424
 605,         91625,           91027,            249,         18530,            5631,            118,         274819,            80711,             439
 606,         91984,           91385,            175,         18594,            5642,             94,         276032,            81109,             428
 607,         92069,           91469,            183,         18667,            5653,             93,         276638,            81193,             457
 608,         92359,           91758,            209,         18691,            5664,            141,         277855,            81578,             644
 609,         92845,           92243,            225,         18735,            5675,            120,         278463,            81882,             416
 610,         93129,           92526,            262,         18774,            5686,            197,         279684,            82261,            2208
 611,         93522,           92918,            207,         18785,            5697,            136,         280294,            82566,             417
 612,         93986,           93381,            232,         18846,            5708,            241,         281519,            82967,             455
 613,         94534,           93928,            206,         18906,            5719,            156,         282131,            83273,             627
 614,         94804,           94197,            293,         18928,            5730,            190,         283360,            83639,             637
 615,         95077,           94469,            279,         18966,            5741,            210,         283974,            83911,             694
 616,         95460,           94851,            299,         18986,            5752,            230,         285207,            84316,             768
 617,         96021,           95411,           1214,         19006,            5763,            594,         285823,            84624,             957
 618,         96432,           95821,            232,         19042,            5774,            142,         287060,            85032,             427
 619,         96635,           96023,            210,         19121,            5785,            133,         287678,            85234,             440
 620,         96646,           96033,            184,         19095,            5796,            136,         288919,            85343,             460
 621,         96968,           96354,            184,         19144,            5807,            132,         289539,            85653,             451
 622,         97064,           96449,            184,         19159,            5818,            139,         290784,            85847,             451
 623,         97511,           96895,            486,         19226,            5829,            192,         291406,            86158,             766
 624,         97696,           97079,            841,         19310,            5840,            220,         292655,            86442,             634
 625,         98147,           97529,            292,         19343,            5851,            203,         293279,            86754,             709
 626,         98681,           98062,            303,         19362,            5862,            219,         294532,            87168,             664
 627,         98758,           98138,            297,         19388,            5873,            226,         295158,            87244,             635
 628,         98851,           98230,            311,         19396,            5884,            203,         296415,            87438,             855
 629,         99176,           98554,            301,         19436,            5895,            285,         297043,            87752,             664
 630,         99581,           98958,            285,         19485,            5906,            200,         298304,            88170,             776
 631,         99958,           99334,            207,         19537,            5917,            128,         298934,            88485,             447
 632,        100110,           99485,            204,         19556,            5928,            138,         300199,            88741,             447
 633,        100431,           99805,            202,         19583,            5939,            123,         300831,            89057,             445
 634,        100917,          100290,            202,         19607,            5950,            121,         302100,            89479,             679
 635,        101111,          100483,            199,         19632,            5961,            122,         302734,            89672,             738
 636,        101651,          101022,            239,         19677,            5972,            147,         304007,            90094,             601
 637,        101765,          101135,            210,         19736,            5983,            139,         304643,            90207,             462
 638,        102066,          101435,            207,         19738,            5994,            128,         305920,            90611,             458
 639,        102544,          101912,            211,         19831,            6005,            140,         306558,            90930,             460
 640,        102630,          101997,            208,         19827,            6016,            122,         307839,            91119,             470
 641,        102873,          102239,            195,         19861,            6027,            125,         308479,            91361,             468
 642,        103274,          102639,            237,         19931,            6038,            227,         309764,            91785,            1823
 643,        103632,          102996,            371,         19997,            6049,            183,         310406,            92106,             466
 644,        103654,          103017,            229,         19970,            6060,            127,         311695,            92229,             532
 645,        103720,          103082,            220,         20004,            6071,            136,         312339,            92294,             466
 646,        104154,          103515,            217,         20070,            6082,            131,         313632,            92719,             460
 647,        104755,          104115,            379,         20086,            6093,            415,         314278,            93042,             612
 648,        105020,          104379,            220,         20152,            6104,            148,         315575,            93408,             465
 649,        105338,          104696,            215,         20185,            6115,            141,         316223,            93725,             463
 650,        105345,          104702,           1367,         20261,            6126,            227,         317524,            93831,            2714
 651,        105740,          105096,            239,         20240,            6137,            130,         318174,            94156,             477
 652,        106040,          105395,            217,         20261,            6148,            131,         319479,            94556,             556
 653,        106492,          105846,            559,         20294,            6159,            428,         320131,            94882,            1017
 654,        106565,          105918,            306,         20304,            6170,            220,         321440,            95055,             708
 655,        106733,          106085,            323,         20382,            6181,            213,         322094,            95222,             703
 656,        107330,          106681,            228,         20441,            6192,            207,         323407,            95651,             699
 657,        107756,          107106,            291,         20484,            6203,            225,         324063,            95979,             727
 658,        108013,          107362,            350,         20531,            6214,            218,         325380,            96338,             754
 659,        108217,          107565,            322,         20544,            6225,            224,         326038,            96541,            3478
 660,        108454,          107801,            542,         20511,            6236,            402,         327359,            96880,            1036
 661,        108557,          107903,            228,         20538,            6247,            137,         328019,            96982,             689
 662,        108768,          108113,            411,         20599,            6258,            181,         329344,            97293,             480
 663,        109220,          108564,            224,         20673,            6269,            140,         330006,            97624,             482
 664,        109258,          108601,            223,         20638,            6280,            130,         331335,            97763,             498
 665,        109361,          108703,            229,         20675,            6291,            134,         331999,            97865,             489
 666,        109840,          109181,            231,         20686,            6302,            142,         333332,            98300,             488
 667,        109949,          109289,            233,         20745,            6313,            133,         333998,            98408,             492
 668,        110130,          109469,            223,         20868,            6324,            163,         335335,            98691,            1189
 669,        110732,          110070,            228,         20892,            6335,            138,         336003,            99025,            2912
 670,        110869,          110206,            238,         20903,            6346,            139,         337344,            99265,             497
 671,        111244,          110580,            233,         20954,            6357,            156,         338014,            99600,             513
 672,        111617,          110952,           2405,         21005,            6368,            467,         339359,           100040,             918
 673,        111738,          111072,            344,         21035,            6379,            201,         340031,           100160,             742
 674,        111773,          111106,            300,         21064,            6390,            231,         341380,           100299,             715
 675,        111774,          111106,            382,         21101,            6401,            418,         342054,           100299,            1052
 676,        112127,          111458,            289,         21123,            6412,            263,         343407,           100740,             739
 677,        112295,          111625,            315,         21157,            6423,            256,         344083,           100907,            1846
 678,        112372,          111701,            553,         21188,            6434,            244,         345440,           101087,            1404
 679,        112795,          112123,            427,         21263,            6445,            251,         346118,           101426,             894
 680,        113421,          112748,           1898,         21252,            6456,            262,         347479,           101871,             882
 681,        113963,          113289,            399,         21267,            6467,            544,         348159,           102211,            1148
 682,        114072,          113397,            318,         21319,            6478,            263,         349524,           102426,             719
 683,        114639,          113963,            306,         21360,            6489,            212,         350206,           102767,             766
 684,        114762,          114085,            299,         21403,            6500,            222,         351575,           102997,             765
 685,        114953,          114275,            326,         21471,            6511,           2220,         352259,           103187,            2667
 686,        115095,          114416,            304,         21529,            6522,            218,         353632,           103436,             740
 687,        115512,          114832,            304,         21477,            6533,            229,         354318,           103779,            1403
 688,        115868,          115187,            317,         21526,            6544,            221,         355695,           104229,             747
 689,        115885,          115203,            312,         21565,            6555,            279,         356383,           104245,             801
 690,        115963,          115280,            332,         21621,            6566,            213,         357764,           104429,             817
 691,        116531,          115847,            313,         21683,            6577,            229,         358454,           104774,            1589
 692,        116627,          115942,            282,         21720,            6588,            211,         359839,           104976,            1625
 693,        117231,          116545,            590,         21723,            6599,            571,         360531,           105322,             931
 694,        117646,          116959,            333,         21749,            6610,            229,         361920,           105777,            1336
 695,        117673,          116985,            325,         21802,            6621,            212,         362614,           105803,             794
 696,        117729,          117040,            345,         21816,            6632,           3058,         364007,           105967,             566
 697,        118198,          117508,            520,         21867,            6643,            345,         364703,           106315,             687
 698,        118329,          117638,            240,         21906,            6654,            110,         366100,           106555,             542
 699,        118606,          117914,            240,         21983,            6665,            109,         366798,           106831,             559
 700,        118708,          118015,            332,         21979,            6676,            111,         368199,           107041,             585
 701,        118739,          118045,            665,         21998,            6687,            192,         368899,           107071,            2013
 702,        119102,          118407,            347,         22074,            6698,            195,         370304,           107530,             856
 703,        119269,          118573,            350,         22136,            6709,            216,         371006,           107696,             930
 704,        119495,          118798,            350,         22130,            6720,            188,         372415,           108030,             800
 705,        120049,          119351,            373,         22167,            6731,            127,         373119,           108382,             612
 706,        120551,          119852,            444,         22207,            6742,            517,         374532,           108842,             707
 707,        121247,          120547,            286,         22209,            6753,            111,         375238,           109195,             915
 708,        121867,          121166,            270,         22295,            6764,            111,         376655,           109656,             560
 709,        121992,          121290,            253,         22345,            6775,            117,         377363,           109780,             665
 710,        122078,          121375,            310,         22331,            6786,            234,         378784,           109972,            1043
 711,        122087,          121383,            568,         22379,            6797,           3137,         379494,           109980,            1735
 712,        122112,          121407,            925,         22387,            6808,            215,         380919,           110108,            4274
 713,        122137,          121431,            325,         22403,            6819,            190,         381631,           110132,             921
 714,        122639,          121932,            331,         22468,            6830,            490,         383060,           110593,            1311
 715,        123287,          122579,            299,         22501,            6841,            194,         383774,           110950,             711
 716,        123686,          122977,           2152,         22527,            6852,           4561,         385207,           111412,             928
 717,        124329,          123619,            346,         22599,            6863,            192,         385923,           111770,            1075
 718,        124441,          123730,            357,         22629,            6874,            195,         387360,           111985,            2102
 719,        124613,          123901,            341,         22654,            6885,            185,         388078,           112156,             841
 720,        125185,          124472,            334,         22664,            6896,            197,         389519,           112620,            1052
 721,        125721,          125007,            581,         22704,            6907,          10904,         390239,           112980,            2023
 722,        125809,          125094,           2474,         22734,            6918,            345,         391684,           113172,            2714
 723,        126274,          125558,            762,         22809,            6929,            218,         392406,           113533,            3663
 724,        126530,          125813,            354,         22823,            6940,            226,         393855,           113894,            1018
 725,        127079,          126361,            363,         22836,            6951,            163,         394579,           114256,             833
 726,        127611,          126892,            347,         22884,            6962,            205,         396032,           114723,             840
 727,        127644,          126924,            690,         22908,            6973,            234,         396758,           114755,            1075
 728,        128303,          127582,            364,         23027,            6984,            203,         398215,           115224,             847
 729,        128682,          127960,            510,         23076,            6995,            196,         398943,           115588,            5087
 730,        129226,          128503,           4677,         23083,            7006,            330,         400404,           116060,             858
 731,        129455,          128731,            414,         23108,            7017,            202,         401134,           116288,            5833
 732,        130001,          129276,            327,         23161,            7028,            202,         402599,           116762,            2152
 733,        130268,          129542,            352,         23191,            7039,            196,         403331,           117028,            3423
 734,        130453,          129726,            340,         23205,            7050,            247,         404800,           117321,             895
 735,        130875,          130147,            388,         23277,            7061,            217,         405534,           117688,             962
 736,        131558,          130829,            379,         23225,            7072,            265,         407007,           118166,            2900
 737,        131984,          131254,            435,         23256,            7083,            201,         407743,           118534,            1045
 738,        132408,          131677,            404,         23261,            7094,            197,         409220,           119015,             921
 739,        132721,          131989,            385,         23325,            7105,            190,         409958,           119327,             903
 740,        133365,          132632,            396,         23357,            7116,            213,         411439,           119810,             787
 741,        133841,          133107,            397,         23420,            7127,            246,         412179,           120180,             937
 742,        133975,          133240,            377,         23478,            7138,            218,         413664,           120427,             838
 743,        134274,          133538,            381,         23442,            7149,            223,         414406,           120725,            2919
 744,        134985,          134248,           2944,         23514,            7160,            207,         415895,           121210,            2263
 745,        135457,          134719,            923,         23555,            7171,            200,         416639,           121582,            1110
 746,        136021,          135282,            372,         23621,            7182,            246,         418132,           122068,             823
 747,        136256,          135516,            377,         23672,            7193,            232,         418878,           122302,            1920
 748,        136838,          136097,            419,         23655,            7204,            166,         420375,           122789,            2551
 749,        137119,          136377,            901,         23669,            7215,            278,         421123,           123069,             974
 750,        137477,          136734,            477,         23714,            7226,            241,         422624,           123539,            3011
 751,        137978,          137234,            978,         23766,            7237,            214,         423374,           123914,            2278
 752,        138218,          137473,            469,         23801,            7248,            305,         424879,           124267,            1042
 753,        138466,          137720,            471,         23844,            7259,            248,         425631,           124514,            1033
 754,        138634,          137887,            467,         23914,            7270,            256,         427140,           124794,            2233
 755,        139093,          138345,            497,         23928,            7281,            254,         427894,           125171,             870
 756,        139117,          138368,            289,         23994,            7292,            119,         429407,           125308,             619
 757,        139589,          138839,            284,         24049,            7303,            117,         430163,           125686,             626
 758,        140013,          139262,            317,         24043,            7314,            119,         431680,           126179,            1226
 759,        140056,          139304,            454,         24075,            7325,            319,         432438,           126221,            1011
 760,        140613,          139860,            287,         24125,            7336,            121,         433959,           126716,            1136
 761,        140677,          139923,            462,         24135,            7347,            274,         434719,           126779,            1040
 762,        140720,          139965,            463,         24135,            7358,            272,         436244,           126937,            1149
 763,        141422,          140666,            319,         24162,            7369,            120,         437006,           127318,             631
